ticket_number,customer_uuid,product_code,category_code,root_cause_code,ticket_status,priority,subject,created_date,channel,app_version,resolved_date,resolution_time_hours,customer_satisfaction_score
TKT-001063,a76cdac6-c6c0-4655-9c17-7d046aa867ab,DIN002,TRANSFER,RC001,Closed,Medium,Issue with dLoan Quick,2025-08-10,Email,v1.1,2025-08-11,12.01606535782177,5.0
TKT-001064,6c16126f-4f40-4e71-882d-0ddee172a0a5,DL002,PAYMENT,RC005,Closed,Medium,Issue with dSave Plus,2025-07-28,Web,v1.1,2025-07-28,4.762082211151993,4.0
TKT-001065,674f6635-f236-42ee-981a-f69a16cfa211,DL001,PAYMENT,RC001,Closed,Medium,Issue with dLoan Quick,2025-08-08,Web,v1.1,2025-08-09,58.03410938677358,1.0
TKT-001066,2d0ceb08-a52b-4e69-b4a8-20414cafb845,DS002,LOAN,RC008,Closed,Low,Issue with dProtect Plus,2025-07-28,App,v1.1,2025-07-30,67.62215480114968,5.0
TKT-001067,85123413-d9e3-43be-88cc-02e84da29b5e,DI001,LOGIN,RC007,Resolved,Medium,Issue with dInvest Pro,2025-07-20,Phone,v1.1,2025-07-21,58.31723162159244,3.0
TKT-001068,53679ace-512d-472d-b616-5973d41897b5,DL001,SAVING,RC002,Resolved,Medium,Issue with dInvest Pro,2025-08-06,Email,v1.1,2025-08-07,47.044352349499604,3.0
TKT-001069,d7e76fb3-c52b-4de1-a774-3500375073fa,DS001,APP_CRASH,RC004,Closed,Medium,Issue with dSave Plus,2025-07-27,Phone,v1.1,2025-07-29,56.086625786983525,5.0
TKT-001070,b517e5d2-6522-431e-a0c7-ef38802d717c,DI002,LOGIN,RC006,Closed,Medium,Issue with dLoan Quick,2025-08-09,Phone,v1.1,2025-08-11,47.945497526886456,5.0
TKT-001071,47469b2f-852e-4249-af0d-21f44d20ffce,DI001,SAVING,RC005,In Progress,Low,Issue with dLoan Flexi,2025-07-14,Web,v1.1,,,
TKT-001072,19af8189-e0cc-4ea1-b8e2-d9f32f616c8d,DIN001,LOAN,RC004,Closed,Medium,Issue with dProtect Basic,2025-07-17,Phone,v1.1,2025-07-17,61.671299190652704,2.0
TKT-001073,0334640b-c2dc-4a7d-b4b7-c9956ee57758,DL002,TRANSFER,RC001,Closed,Low,Issue with dLoan Quick,2025-07-14,Email,v1.1,2025-07-16,5.170267180973136,2.0
TKT-001074,88c535db-1116-4142-b6c2-b76a9c4f58ac,DI002,LOGIN,RC006,Closed,Medium,Issue with dSave Premium,2025-08-10,Phone,v1.2,2025-08-12,8.60110291469008,2.0
TKT-001075,2edbbd89-6084-4671-8ea2-082067afdfd7,DIN002,TRANSFER,RC005,Closed,Low,Issue with dInvest Auto,2025-08-03,App,v1.1,2025-08-03,32.65451663545558,4.0
TKT-001076,b302a11e-7c66-4196-9b65-aeb814d9a397,DS002,LOAN,RC007,Open,Low,Issue with dLoan Flexi,2025-07-24,App,v1.1,,,
TKT-001077,cf666775-f3ca-46a5-b574-7ba475772d6c,DI001,SAVING,RC008,Closed,Medium,Issue with dLoan Flexi,2025-08-11,Web,v1.1,2025-08-11,26.817819105067652,2.0
TKT-001078,0b820f87-05b2-4ede-94c5-9441b065d348,DI002,PAYMENT,RC004,Open,Low,Issue with dLoan Quick,2025-07-29,Email,v1.1,,,
TKT-001079,387278c5-3a0d-4765-aba3-4e1a81fba314,DI001,LOGIN,RC003,Closed,Medium,Issue with dSave Plus,2025-07-15,App,v1.1,2025-07-15,22.86422633030898,2.0
TKT-001080,9fcfb14f-e182-4aff-bda8-836aff7aace1,DS002,TRANSFER,RC006,In Progress,Critical,Issue with dSave Plus,2025-07-14,Web,v1.1,,,
TKT-001081,ffe59cf7-3332-4a1e-87a3-fca12ce83fd3,DS001,LOAN,RC008,Closed,Medium,Issue with dProtect Plus,2025-07-25,Phone,v1.1,2025-07-25,65.94250356307221,3.0
TKT-001082,210ed8e2-fcbc-43ff-ab1b-395304f16e92,DIN001,APP_CRASH,RC001,In Progress,Medium,Issue with dLoan Quick,2025-07-26,Phone,v1.1,,,
TKT-001083,3a17e10d-9520-4242-b10a-ca0ac722f06e,DI001,ACCOUNT,RC004,Resolved,Medium,Issue with dLoan Quick,2025-08-01,Email,v1.1,2025-08-03,44.26686879802966,2.0
TKT-001084,a284e8fd-755c-4e2a-b8de-d777bb1e5ae8,DI002,APP_CRASH,RC003,Closed,Low,Issue with dInvest Pro,2025-08-01,Email,v1.1,2025-08-01,57.005334391795905,3.0
TKT-001085,89f6a0ea-c372-4129-bd69-0ba4a396d805,DS001,APP_CRASH,RC004,In Progress,Medium,Issue with dSave Premium,2025-07-18,Phone,v1.1,,,
TKT-001086,e0305edd-3538-474d-bf18-d7fe9bdaa9f5,DIN002,APP_CRASH,RC003,Resolved,Medium,Issue with dProtect Plus,2025-08-11,Web,v1.1,2025-08-11,70.18819665399151,1.0
TKT-001087,61d64baa-583c-4560-a596-36a1f3726ced,DS001,LOGIN,RC001,Closed,Low,Issue with dSave Plus,2025-07-18,Web,v1.1,2025-07-18,5.521531874728371,3.0
TKT-001088,c8f127d7-0952-4153-91db-94abc3a45b7b,DIN002,TRANSFER,RC006,Closed,High,Issue with dProtect Basic,2025-07-21,Web,v1.1,2025-07-22,36.67571097503948,3.0
TKT-001089,4b109626-446e-43f1-9c12-ef40b1ecf2cc,DL002,APP_CRASH,RC001,Closed,Low,Issue with dProtect Plus,2025-08-11,Phone,v1.1,2025-08-12,2.0053400895259257,5.0
TKT-001090,b667f6ba-b1bf-4a25-bd9d-434c0390733b,DL001,TRANSFER,RC004,Closed,Medium,Issue with dProtect Basic,2025-07-28,App,v1.1,2025-07-29,68.24902554741355,1.0
TKT-001091,1f73aaf0-b2a0-4b92-9c3b-dceea6778e26,DS001,ACCOUNT,RC006,In Progress,Low,Issue with dLoan Quick,2025-07-30,Email,v1.1,,,
TKT-001092,d523d170-e56b-4ea2-be46-19a79da3589f,DI002,APP_CRASH,RC007,Resolved,Medium,Issue with dProtect Basic,2025-08-03,Email,v1.1,2025-08-04,54.90534440951711,5.0
TKT-001093,6921a7f8-0f38-42bc-a9fd-44105415e9c0,DL001,PAYMENT,RC001,Closed,Low,Issue with dLoan Quick,2025-07-26,Email,v1.1,2025-07-26,22.821336810186704,3.0
TKT-001094,85dc592e-1c70-4514-bf55-d99ae57a21fb,DI001,LOGIN,RC003,In Progress,Medium,Issue with dInvest Pro,2025-08-12,Web,v1.1,,,
TKT-001095,a076cd2e-3d18-43fc-8651-9c1eff0f5dfe,DL002,LOAN,RC001,Closed,High,Issue with dSave Premium,2025-08-10,Phone,v1.1,2025-08-11,52.03548475614863,1.0
TKT-001096,2d083c27-89e9-4645-a840-5e1141d3e459,DL002,LOAN,RC002,Closed,Low,Issue with dProtect Plus,2025-07-25,Web,v1.1,2025-07-27,45.95748246723822,3.0
TKT-001097,6068299f-bcdc-4888-a191-487b4a23248c,DI001,LOAN,RC001,Resolved,Low,Issue with dSave Premium,2025-08-02,Web,v1.1,2025-08-02,21.67751249904949,1.0
TKT-001098,fbcadc35-65d6-45fb-b38b-017120c7d3cd,DIN001,LOGIN,RC002,In Progress,Medium,Issue with dProtect Plus,2025-07-30,Web,v1.1,,,
TKT-001099,bc1d2a32-0955-4281-8bef-dcf846377f60,DS001,PAYMENT,RC004,Closed,Medium,Issue with dInvest Pro,2025-07-17,Email,v1.1,2025-07-18,21.291572634657808,5.0
TKT-001100,2e0f3ece-c9e0-43fc-ac5d-6ff1eef148e5,DI002,ACCOUNT,RC005,Closed,Medium,Issue with dSave Plus,2025-08-08,Email,v1.1,2025-08-09,40.865713772577315,2.0
TKT-001101,68b4f725-f75d-4a79-8a7c-8ceb0769866c,DIN001,APP_CRASH,RC004,Open,Medium,Issue with dSave Premium,2025-07-28,Phone,v1.1,,,
TKT-001102,62d115ed-6044-4344-8f99-a2ebbeb374a7,DL001,SAVING,RC001,Closed,Medium,Issue with dProtect Plus,2025-08-02,Phone,v1.1,2025-08-04,29.92147238144004,5.0
TKT-001103,9f97066b-1f22-49b0-90f3-47b3451fecde,DS001,ACCOUNT,RC003,Resolved,High,Issue with dLoan Flexi,2025-08-02,Email,v1.1,2025-08-03,30.206540674907806,2.0
TKT-001104,e4b8b8bd-929a-407c-adfa-edbf6234f24f,DS002,PAYMENT,RC004,Open,Medium,Issue with dSave Plus,2025-07-16,Email,v1.1,,,
TKT-001105,53496c02-057d-4a7d-ac23-5dd4e639fbff,DI002,TRANSFER,RC001,In Progress,Critical,Issue with dLoan Quick,2025-07-17,Email,v1.1,,,
TKT-001106,d029f8e3-5230-439f-8927-e05f4a6248e6,DS001,PAYMENT,RC004,Resolved,Medium,Issue with dProtect Plus,2025-08-12,Phone,v1.1,2025-08-14,19.39040171975879,3.0
TKT-001107,f999a530-7645-4703-9317-a2f931acd8a5,DIN002,PAYMENT,RC007,Resolved,High,Issue with dProtect Basic,2025-08-09,App,v1.1,2025-08-11,18.17173578067747,1.0
TKT-001108,7c96e713-1196-4b6f-a1a3-08f9d8913159,DS001,TRANSFER,RC008,In Progress,Low,Issue with dLoan Flexi,2025-08-12,Phone,v1.1,,,
TKT-001109,3126cc0c-d9e8-4803-a0a0-a5de96476b0b,DIN002,SAVING,RC007,Closed,Low,Issue with dInvest Pro,2025-07-17,Web,v1.1,2025-07-18,62.55111792574614,2.0
TKT-001110,8e1a34bb-c855-4500-a52e-e7725264b5c3,DL001,LOAN,RC006,Closed,High,Issue with dProtect Basic,2025-07-15,Email,v1.1,2025-07-15,68.76852966158992,5.0
TKT-001111,b09700cf-4096-4aae-80c2-32c485c180d0,DIN002,LOGIN,RC003,Open,Medium,Issue with dSave Premium,2025-08-06,Email,v1.1,,,
TKT-001112,8809cda8-7274-47ad-9ce6-b1efca08f509,DL001,LOGIN,RC004,Closed,Medium,Issue with dProtect Plus,2025-07-19,Phone,v1.1,2025-07-20,58.510713914712014,3.0
TKT-001113,84b0a4e2-d91c-4bb4-a106-816fa321273b,DS001,SAVING,RC008,Resolved,Medium,Issue with dLoan Flexi,2025-08-08,Email,v1.1,2025-08-10,42.59868088818583,4.0
TKT-001114,545b3357-c1ba-45f7-bbc2-6cbfd6462d44,DIN002,ACCOUNT,RC007,In Progress,Low,Issue with dLoan Flexi,2025-07-31,Email,v1.1,,,
TKT-001115,38d7ed84-ea86-4d7b-ae52-454216e80a97,DL002,LOGIN,RC001,Open,Medium,Issue with dLoan Quick,2025-07-25,Web,v1.1,,,
TKT-001116,64e35b8a-df5c-42f4-9449-dc33c7ac45e3,DIN002,SAVING,RC002,In Progress,Medium,Issue with dProtect Basic,2025-07-18,Web,v1.1,,,
TKT-001117,d6125a39-bd29-47ec-90dc-ea8435702a0b,DIN002,TRANSFER,RC002,Closed,High,Issue with dProtect Basic,2025-08-12,Web,v1.1,2025-08-14,46.45379110559883,5.0
TKT-001118,9e340909-09a0-4f28-87dc-ff55ba463ce3,DI002,LOAN,RC008,Closed,Low,Issue with dInvest Pro,2025-07-28,Email,v1.1,2025-07-29,21.870240565068666,4.0
TKT-001119,6a21ab97-d04c-4e8e-9eca-88d3af665d67,DI001,ACCOUNT,RC001,Closed,Medium,Issue with dLoan Quick,2025-07-26,Web,v1.1,2025-07-28,55.95903480873944,1.0
TKT-001120,5cc82ba8-7fba-41ab-b8d8-149d3b22a6cc,DS001,TRANSFER,RC007,Resolved,Low,Issue with dLoan Quick,2025-07-16,Email,v1.1,2025-07-18,71.33054841347752,4.0
TKT-001121,4838f4c6-cf8f-401c-99cb-0d12ea928be6,DIN002,SAVING,RC007,Resolved,Medium,Issue with dProtect Basic,2025-08-06,Web,v1.1,2025-08-08,9.658120002377643,2.0
TKT-001122,b524e6e5-063c-4e2c-b2d2-0ac2e4946f43,DI002,APP_CRASH,RC001,Open,Critical,Issue with dInvest Auto,2025-07-14,App,v1.1,,,
TKT-001123,2128ef5f-5775-4ae3-88c2-24b07a357088,DS001,LOGIN,RC004,Open,Medium,Issue with dLoan Quick,2025-08-07,Web,v1.1,,,
TKT-001124,4db49a54-4268-4356-8cfa-62f49da1ae3d,DS001,ACCOUNT,RC008,Resolved,Medium,Issue with dProtect Basic,2025-08-09,App,v1.1,2025-08-11,12.953566623611962,4.0
TKT-001125,a76bca91-e06d-42dd-ac8d-14cbc0159e7e,DI001,LOGIN,RC007,Closed,Medium,Issue with dSave Plus,2025-07-23,Web,v1.1,2025-07-26,2.368391374869579,2.0
TKT-001126,2faae73c-5d91-4c80-b350-0c53e9139562,DI001,SAVING,RC003,Resolved,High,Issue with dProtect Basic,2025-08-02,Phone,v1.1,2025-08-02,34.31761543804847,3.0
TKT-001127,09eb3e60-2d6d-4cc5-8837-768f5041da23,DL001,SAVING,RC007,Resolved,Low,Issue with dSave Plus,2025-07-20,Phone,v1.1,2025-07-21,39.4310478351333,5.0
TKT-001128,7511d510-f0b7-4e04-b195-3b79a83bf521,DI001,LOGIN,RC003,Closed,Low,Issue with dLoan Quick,2025-07-26,Email,v1.1,2025-07-26,33.04565339143056,3.0
TKT-001129,1cc43e60-45ac-48c3-a1f1-5b2e5bc09612,DIN002,APP_CRASH,RC006,In Progress,Medium,Issue with dInvest Pro,2025-07-28,Phone,v1.1,,,
TKT-001130,23700c20-d8ef-492d-9bff-956b30b7378b,DS001,LOAN,RC006,Closed,Medium,Issue with dProtect Plus,2025-07-31,Web,v1.2,2025-07-31,54.31925753766669,2.0
TKT-001131,28e745ba-eb38-470e-8bde-9ae6144db162,DL001,TRANSFER,RC007,Closed,Medium,Issue with dInvest Auto,2025-07-14,Email,v1.1,2025-07-14,36.32290896922147,1.0
TKT-001132,bc5542d6-dbdd-40d1-b417-a14a4e0acf45,DS001,ACCOUNT,RC007,In Progress,Low,Issue with dSave Plus,2025-07-30,App,v1.1,,,
TKT-001133,3c1b76cc-8bfd-43bd-bf15-74fa40790c68,DIN002,ACCOUNT,RC008,Resolved,Low,Issue with dSave Plus,2025-07-30,App,v1.1,2025-07-30,11.95090286047297,1.0
TKT-001134,cedcca23-c9d1-47f3-bc91-6ca456c3c049,DI001,SAVING,RC004,Open,Medium,Issue with dLoan Quick,2025-08-03,Web,v1.1,,,
TKT-001135,24ae0c1d-ce9e-40bd-9196-dfc0e90be69f,DS001,TRANSFER,RC003,Resolved,High,Issue with dInvest Auto,2025-07-22,Phone,v1.1,2025-07-24,13.79469257433778,1.0
TKT-001136,42fa7a50-6d92-40b6-ae0c-7eb446ea293f,DI002,APP_CRASH,RC001,Closed,Medium,Issue with dSave Plus,2025-07-30,Phone,v1.1,2025-07-30,6.2000437170856095,2.0
TKT-001137,c2c43534-9c06-41c0-a6ad-2641a3331208,DI001,APP_CRASH,RC007,In Progress,Medium,Issue with dSave Premium,2025-08-12,Email,v1.1,,,
TKT-001138,353b60c4-3c13-43db-8ade-ea199a85224a,DL002,ACCOUNT,RC006,Resolved,Medium,Issue with dInvest Pro,2025-08-01,App,v1.1,2025-08-01,29.644156571830397,5.0
TKT-001139,61c47313-b34c-4304-a6d3-cdebde024096,DIN002,PAYMENT,RC008,Open,Low,Issue with dLoan Flexi,2025-07-22,App,v1.1,,,
