customer_uuid,product_code,activation_date,status,balance,credit_limit,interest_rate
90b2ee24-ce56-4b16-9d5b-ab3798f9b87c,DIN001,2024-10-27,Active,,,4.7
8eec22a4-f966-49c2-9796-b7b190b7f26f,DIN001,2023-12-28,Active,,,1.24
dbae1c0b-abb4-402b-b9a3-cf6105ee5795,DS002,2025-05-16,Inactive,82621.78,,4.2
23700c20-d8ef-492d-9bff-956b30b7378b,DL001,2025-04-08,Active,,231609.04,3.91
23700c20-d8ef-492d-9bff-956b30b7378b,DIN001,2025-07-15,Active,,,3.49
23700c20-d8ef-492d-9bff-956b30b7378b,DS002,2024-10-17,Active,394819.97,,1.9
84f11ed4-3f18-42d3-bc6c-bacdad302d60,DL002,2024-10-25,Active,,249347.58,1.89
84f11ed4-3f18-42d3-bc6c-bacdad302d60,DI002,2024-08-07,Inactive,,,1.22
c36d65c7-8a0b-4ba5-b61e-b8520cc3f5cd,DI002,2025-07-04,Active,,,3.81
4559a49e-b951-411a-bca2-f5bc2c6dd9ff,DS002,2025-01-23,Active,315582.57,,4.25
4559a49e-b951-411a-bca2-f5bc2c6dd9ff,DL001,2025-05-17,Active,,16626.25,2.12
4559a49e-b951-411a-bca2-f5bc2c6dd9ff,DI001,2024-05-19,Active,,,1.02
8091c56e-5427-4120-90d9-6aa9776804e0,DI001,2024-12-30,Active,,,4.87
8091c56e-5427-4120-90d9-6aa9776804e0,DS001,2025-07-27,Active,106843.04,,2.01
b276d819-2651-4aa3-98bb-1c4ef3e62704,DIN001,2024-08-01,Active,,,4.7
5bc3dab7-068d-4bcf-912a-7f66007cf4ca,DI002,2023-11-20,Inactive,,,4.85
5bc3dab7-068d-4bcf-912a-7f66007cf4ca,DI001,2024-05-18,Active,,,3.18
6d5a9a84-ad35-4064-83fb-716be51fe1d2,DL001,2024-03-18,Active,,156615.23,2.79
6d5a9a84-ad35-4064-83fb-716be51fe1d2,DIN001,2024-09-25,Active,,,1.28
c6cd062f-9f71-4c05-b860-ec636ea834de,DS002,2024-02-09,Active,239352.63,,2.48
c6cd062f-9f71-4c05-b860-ec636ea834de,DL001,2024-11-14,Active,,31830.22,4.39
c6cd062f-9f71-4c05-b860-ec636ea834de,DI001,2024-12-24,Active,,,3.01
3b07c981-e389-4bdd-975b-06900d2cabc8,DIN002,2024-09-10,Active,,,1.3
3b07c981-e389-4bdd-975b-06900d2cabc8,DL002,2025-09-11,Active,,224223.74,2.87
3b07c981-e389-4bdd-975b-06900d2cabc8,DI001,2024-12-21,Active,,,2.69
6e8a00d0-cbf3-4ce4-91bb-655f19abce44,DS002,2024-08-07,Active,10188.59,,2.24
cf934452-9580-4226-a37c-cc76d480db6e,DS001,2024-07-07,Active,372702.51,,2.03
cf934452-9580-4226-a37c-cc76d480db6e,DL002,2025-10-09,Inactive,,181016.89,4.74
b0f6e4bd-0705-4e0d-a636-988abc294699,DI002,2024-03-22,Active,,,2.84
b0f6e4bd-0705-4e0d-a636-988abc294699,DI001,2025-05-25,Active,,,3.91
b0f6e4bd-0705-4e0d-a636-988abc294699,DS002,2024-02-10,Active,58622.83,,2.07
4f694ddc-cc3b-407a-80f5-0d52f0e78683,DL002,2025-09-15,Active,,32334.51,2.29
4f694ddc-cc3b-407a-80f5-0d52f0e78683,DI002,2024-11-13,Active,,,2.11
4f694ddc-cc3b-407a-80f5-0d52f0e78683,DS002,2024-12-23,Active,169003.48,,2.66
5f369337-25e4-4d41-9489-2f31abf2eda7,DS002,2025-04-07,Active,205928.59,,1.72
5f369337-25e4-4d41-9489-2f31abf2eda7,DIN002,2024-03-01,Active,,,4.27
5f369337-25e4-4d41-9489-2f31abf2eda7,DL002,2023-10-30,Active,,145894.16,0.53
ee26922e-af05-4d4c-8f74-169a4a1e29ea,DIN002,2025-07-07,Active,,,1.56
ee26922e-af05-4d4c-8f74-169a4a1e29ea,DS002,2025-05-16,Active,216925.62,,3.8
ee26922e-af05-4d4c-8f74-169a4a1e29ea,DIN001,2025-09-15,Active,,,4.05
bdf9a469-8273-490d-9fc0-f0b01277fd19,DI002,2024-10-08,Active,,,3.25
5b437009-8b89-4a9c-b631-1eb0911dadc3,DIN002,2025-04-22,Active,,,0.78
5b437009-8b89-4a9c-b631-1eb0911dadc3,DI001,2025-07-24,Active,,,4.87
0ffeaab6-f8f1-46ad-a45d-2df6b01eb31f,DIN002,2024-03-27,Active,,,4.57
0ffeaab6-f8f1-46ad-a45d-2df6b01eb31f,DL001,2024-11-14,Active,,81759.74,0.7
0ffeaab6-f8f1-46ad-a45d-2df6b01eb31f,DL002,2024-09-20,Active,,257758.07,1.33
bf415c98-5a8e-4f05-a3ce-cf1e296df91f,DS001,2025-09-30,Active,398598.8,,1.13
bf415c98-5a8e-4f05-a3ce-cf1e296df91f,DL002,2024-04-27,Inactive,,14453.17,0.95
f2392c22-95fc-4963-9587-ca9d75355879,DIN001,2024-08-18,Inactive,,,1.7
9343c71a-2aff-43ea-81a0-d8ca51863481,DIN002,2025-03-03,Inactive,,,2.07
9343c71a-2aff-43ea-81a0-d8ca51863481,DS002,2024-05-24,Active,245184.64,,1.11
9343c71a-2aff-43ea-81a0-d8ca51863481,DIN001,2024-02-06,Active,,,4.65
fc6ee730-252b-4b3e-bb74-3a01819d29bb,DS001,2025-04-25,Active,96217.58,,3.3
fc6ee730-252b-4b3e-bb74-3a01819d29bb,DL002,2024-07-06,Active,,252657.84,2.15
fc6ee730-252b-4b3e-bb74-3a01819d29bb,DIN001,2025-02-04,Active,,,2.59
9f5b04ef-0e66-40fc-a3d8-937274003762,DL002,2025-02-03,Active,,258999.29,3.75
9f5b04ef-0e66-40fc-a3d8-937274003762,DI001,2024-12-30,Active,,,0.92
9f5b04ef-0e66-40fc-a3d8-937274003762,DIN002,2023-11-19,Active,,,3.47
78b2aecc-71fb-45bb-995b-480076d70b16,DI002,2024-06-03,Active,,,4.1
78b2aecc-71fb-45bb-995b-480076d70b16,DS002,2024-12-23,Active,344680.53,,2.49
78b2aecc-71fb-45bb-995b-480076d70b16,DL001,2025-02-15,Active,,204663.73,4.1
829d168e-9e8b-430a-8745-1da08852ac1c,DL002,2025-03-08,Active,,274328.51,4.31
829d168e-9e8b-430a-8745-1da08852ac1c,DIN001,2023-11-19,Active,,,1.4
829d168e-9e8b-430a-8745-1da08852ac1c,DI002,2024-02-26,Active,,,1.41
6359d5ce-e2aa-4dc7-b208-838e7d57ef69,DI002,2024-05-12,Active,,,0.71
6359d5ce-e2aa-4dc7-b208-838e7d57ef69,DI001,2025-10-03,Inactive,,,3.97
5de7daf9-843c-410b-a4fd-0381896866f1,DS001,2025-03-13,Inactive,193920.39,,3.78
5de7daf9-843c-410b-a4fd-0381896866f1,DS002,2024-01-09,Active,251462.5,,0.87
aa259338-edb0-4098-a874-1fbfcb9d2273,DI001,2024-07-23,Active,,,4.39
aa259338-edb0-4098-a874-1fbfcb9d2273,DL002,2025-09-30,Active,,31185.76,1.53
ec896eed-dfe0-4682-90cd-ca52d42dcf06,DS002,2025-07-18,Active,486766.98,,2.02
ec896eed-dfe0-4682-90cd-ca52d42dcf06,DI002,2025-05-30,Inactive,,,0.74
ec896eed-dfe0-4682-90cd-ca52d42dcf06,DL001,2024-08-09,Active,,161262.68,1.98
8a16a06c-c958-475e-a1d5-3971336749b5,DIN001,2024-01-08,Active,,,4.38
81dad153-08e1-4e86-9eeb-fd6412173190,DL001,2025-01-09,Inactive,,110871.15,4.27
81dad153-08e1-4e86-9eeb-fd6412173190,DI002,2024-07-22,Active,,,3.45
81dad153-08e1-4e86-9eeb-fd6412173190,DS001,2024-07-06,Active,35734.16,,4.94
9cf42505-2bb2-489b-84bd-ff5fc82c471d,DIN001,2025-05-16,Active,,,1.57
9cf42505-2bb2-489b-84bd-ff5fc82c471d,DS002,2024-09-16,Active,378090.46,,0.93
9cf42505-2bb2-489b-84bd-ff5fc82c471d,DIN002,2023-10-23,Active,,,1.79
50f47cad-8623-4a7e-bdde-4df2a5a58975,DL002,2023-10-18,Inactive,,258611.14,1.41
73b6a09b-1bea-46ac-97fa-7f0483639007,DS002,2025-04-27,Active,281000.96,,2.12
73b6a09b-1bea-46ac-97fa-7f0483639007,DI001,2024-09-14,Active,,,4.43
9caa40dc-9b5e-4b5d-b171-cfa8a8959f0f,DS002,2024-09-18,Active,52408.09,,1.57
d4b26720-7bd6-4dfe-9005-faa6a4b5dd9a,DL001,2024-12-05,Active,,83374.46,3.37
d4b26720-7bd6-4dfe-9005-faa6a4b5dd9a,DI001,2023-12-07,Active,,,3.67
d4b26720-7bd6-4dfe-9005-faa6a4b5dd9a,DI002,2024-01-27,Inactive,,,1.77
17658f16-f5d5-4a90-9222-f1be0a308019,DL002,2024-08-31,Inactive,,270853.67,1.79
17658f16-f5d5-4a90-9222-f1be0a308019,DS002,2023-11-08,Active,382741.24,,3.63
dce48c87-ee59-44ff-b789-43edb89d7310,DI002,2024-07-31,Active,,,4.37
dce48c87-ee59-44ff-b789-43edb89d7310,DL002,2025-07-30,Active,,36511.06,4.59
dce48c87-ee59-44ff-b789-43edb89d7310,DS001,2025-07-27,Active,211194.56,,4.96
b872de8f-6779-409d-9576-1d3d65c526f9,DS002,2023-12-11,Active,141379.56,,2.35
b872de8f-6779-409d-9576-1d3d65c526f9,DL002,2024-11-26,Active,,163635.9,1.84
f505b61c-a078-4c97-b04e-dc67de6e1854,DIN001,2024-10-08,Active,,,3.85
0977f11e-a1d2-4142-93c5-692de9c1c104,DL002,2025-07-01,Active,,170893.08,4.97
0977f11e-a1d2-4142-93c5-692de9c1c104,DS002,2025-05-10,Active,30194.53,,1.46
c1f69872-30ef-430a-8200-6c070d459b7a,DS002,2023-10-15,Active,49080.08,,4.62
c1f69872-30ef-430a-8200-6c070d459b7a,DI002,2024-10-22,Active,,,0.77
f8a5a340-8890-48eb-8c1f-7732c16250b5,DL001,2024-11-03,Inactive,,75226.36,3.54
c38d8b9a-44f3-4b60-983e-51af40a0a163,DL002,2024-03-21,Inactive,,95930.95,0.86
c38d8b9a-44f3-4b60-983e-51af40a0a163,DL001,2025-06-10,Active,,202154.51,3.97
bea901bc-c487-41c6-b84f-75cda0407009,DIN001,2025-02-08,Active,,,0.63
bea901bc-c487-41c6-b84f-75cda0407009,DL002,2024-09-27,Active,,78788.35,2.16
5fe9da88-39c6-4ebc-9d28-d4dff41a320c,DI002,2024-07-10,Active,,,3.71
5fe9da88-39c6-4ebc-9d28-d4dff41a320c,DIN002,2025-02-26,Active,,,4.99
b89e2855-9a59-4a85-8762-6fec1dd79d6f,DL001,2024-11-26,Active,,20932.49,1.31
b89e2855-9a59-4a85-8762-6fec1dd79d6f,DI002,2024-12-12,Active,,,0.94
b89e2855-9a59-4a85-8762-6fec1dd79d6f,DIN002,2025-05-04,Active,,,2.61
6ab4444a-cf3b-4bb6-9cfc-7b89de10f234,DI002,2023-11-03,Active,,,0.59
6ab4444a-cf3b-4bb6-9cfc-7b89de10f234,DS002,2023-11-09,Active,328172.14,,2.4
9211e2f5-3b12-4948-b3ba-0ca71f49d7c1,DL001,2025-03-16,Active,,282952.02,2.82
9211e2f5-3b12-4948-b3ba-0ca71f49d7c1,DIN001,2024-02-05,Active,,,4.52
9211e2f5-3b12-4948-b3ba-0ca71f49d7c1,DIN002,2023-10-19,Inactive,,,4.3
35157717-2fbf-426a-9054-35195c87e4cf,DIN002,2024-06-16,Active,,,1.24
35157717-2fbf-426a-9054-35195c87e4cf,DL001,2023-10-17,Active,,137627.65,3.32
35157717-2fbf-426a-9054-35195c87e4cf,DS001,2024-07-19,Active,294637.93,,4.49
6a354d7f-bc46-4833-aab9-bce12813fa55,DL001,2025-02-03,Active,,13812.25,4.67
9d3616a1-08de-4921-a60c-b547e2280fe3,DL001,2025-09-13,Active,,94266.37,1.42
9d3616a1-08de-4921-a60c-b547e2280fe3,DI001,2024-10-31,Active,,,0.79
9d3616a1-08de-4921-a60c-b547e2280fe3,DIN002,2023-12-19,Active,,,1.45
e72a6c39-f76a-48a4-962a-89231a8335cb,DS001,2025-01-15,Active,494742.05,,2.48
4c80a43a-6b8c-4e80-8f32-f911a47b9ecb,DL001,2024-05-27,Inactive,,192075.57,1.94
4c80a43a-6b8c-4e80-8f32-f911a47b9ecb,DI001,2025-07-07,Active,,,3.4
4c80a43a-6b8c-4e80-8f32-f911a47b9ecb,DI002,2024-11-02,Active,,,1.71
b07c70f0-e361-4306-995d-517d7afae65e,DI002,2025-01-22,Active,,,4.91
b07c70f0-e361-4306-995d-517d7afae65e,DIN001,2024-01-09,Active,,,4.55
c1d46692-1d3d-4da1-9014-eec3b5198d32,DL002,2025-04-30,Active,,140885.5,2.17
c1d46692-1d3d-4da1-9014-eec3b5198d32,DS001,2024-11-23,Active,61122.46,,3.33
c1d46692-1d3d-4da1-9014-eec3b5198d32,DIN001,2024-08-18,Active,,,1.27
4fd612ab-385f-4927-9635-34d359733b4e,DI002,2024-06-26,Active,,,1.42
4fd612ab-385f-4927-9635-34d359733b4e,DIN001,2024-02-20,Active,,,1.48
76c3dd16-aa82-4735-b374-7a31f895f975,DS002,2024-11-25,Active,155545.92,,1.21
76c3dd16-aa82-4735-b374-7a31f895f975,DI001,2025-04-17,Active,,,4.82
4dfd1703-a5da-4761-b2b3-b3083eee3b7b,DI002,2024-08-04,Active,,,2.55
4dfd1703-a5da-4761-b2b3-b3083eee3b7b,DL001,2024-03-26,Active,,221167.14,2.73
325a08ff-e538-4f54-a3fc-8e0deb250927,DI002,2024-11-28,Inactive,,,1.26
325a08ff-e538-4f54-a3fc-8e0deb250927,DI001,2025-09-30,Inactive,,,2.77
7d5269cd-a1ba-4c29-a83b-9cab95322664,DIN002,2024-02-22,Active,,,2.57
f8ebeecf-afe9-4022-bb10-4383ef018574,DS001,2025-05-10,Active,330973.04,,1.45
f8ebeecf-afe9-4022-bb10-4383ef018574,DI001,2025-01-02,Inactive,,,3.09
f8ebeecf-afe9-4022-bb10-4383ef018574,DIN001,2025-06-11,Active,,,1.76
394a6fdc-cf5d-464f-a826-f22cbd430431,DS002,2024-04-17,Active,298091.85,,4.2
394a6fdc-cf5d-464f-a826-f22cbd430431,DL001,2025-03-12,Active,,54862.48,3.73
394a6fdc-cf5d-464f-a826-f22cbd430431,DIN002,2025-02-01,Active,,,3.15
391b3af8-7b79-45c5-b379-f29c62e269cb,DL001,2024-12-22,Active,,96875.8,2.7
cd043537-3b00-4eb6-b6b0-88a9f78fd863,DI002,2025-08-16,Active,,,2.74
cd043537-3b00-4eb6-b6b0-88a9f78fd863,DS002,2025-04-28,Active,298391.54,,4.96
cd043537-3b00-4eb6-b6b0-88a9f78fd863,DL001,2024-08-10,Active,,73679.36,2.75
0540d8ce-0e1c-4099-a148-091127c4d336,DL001,2024-06-12,Active,,78900.91,4.94
0540d8ce-0e1c-4099-a148-091127c4d336,DIN001,2024-12-01,Active,,,0.89
0540d8ce-0e1c-4099-a148-091127c4d336,DI001,2024-03-06,Active,,,1.04
a034a645-8d6b-4d3b-b213-6f79f4faf208,DI001,2024-03-20,Active,,,1.45
a034a645-8d6b-4d3b-b213-6f79f4faf208,DL001,2024-10-27,Inactive,,298700.81,3.51
a034a645-8d6b-4d3b-b213-6f79f4faf208,DIN001,2024-01-15,Active,,,3.9
daaecc18-8625-4b26-9113-a3b4f1c5c347,DS001,2023-11-17,Active,332176.01,,2.71
bfa255f8-9b42-4428-8cd3-88f96b17c072,DS002,2024-12-29,Active,130919.69,,4.06
21f69c30-c293-4347-a127-52587e05d727,DL001,2024-12-07,Inactive,,296856.41,4.79
8dab2a98-0d5e-4047-a827-3bebd90129a5,DI001,2024-03-01,Inactive,,,2.25
8dab2a98-0d5e-4047-a827-3bebd90129a5,DIN002,2024-07-02,Active,,,3.32
226988f2-ae3a-4a9f-a5cf-ae3f5f446cb6,DL002,2025-04-11,Active,,270898.58,1.47
3acb3540-3d8b-4fe7-9e4e-a788f6ee3981,DIN002,2025-04-12,Active,,,1.86
3acb3540-3d8b-4fe7-9e4e-a788f6ee3981,DL002,2023-12-02,Active,,70038.82,1.34
8335aef3-2171-4020-97c8-fbadf1dc0916,DI001,2024-09-24,Active,,,2.65
8335aef3-2171-4020-97c8-fbadf1dc0916,DL002,2025-06-22,Active,,188997.77,4.55
8335aef3-2171-4020-97c8-fbadf1dc0916,DIN002,2024-09-14,Inactive,,,4.42
25730262-4c1d-4b8a-b6e4-1d64f386cd13,DI002,2025-06-12,Inactive,,,3.7
7bf9bfd2-dba6-4ae4-b1b7-9527d13a3c77,DL002,2024-10-04,Active,,104248.32,2.61
7bf9bfd2-dba6-4ae4-b1b7-9527d13a3c77,DS002,2024-11-03,Active,260707.3,,3.28
b455d72b-94c7-4c1a-9316-8db6813a45ac,DI001,2024-10-08,Active,,,0.77
b455d72b-94c7-4c1a-9316-8db6813a45ac,DS002,2023-10-23,Active,380308.44,,0.52
a9a09c8d-da4d-40c6-bff4-59d04b196c14,DI002,2024-03-26,Active,,,1.98
a9a09c8d-da4d-40c6-bff4-59d04b196c14,DS002,2025-06-28,Inactive,413843.87,,4.07
92d9647d-7b21-4a68-835b-4b1101109d0f,DS002,2024-05-15,Inactive,450856.71,,3.56
09eae11c-5fce-41ad-b8b4-166b4ba11746,DL001,2023-12-23,Active,,197268.65,3.19
ca21ed1d-b865-40b1-b230-0cc11c43eda9,DI002,2024-11-29,Inactive,,,1.64
ca21ed1d-b865-40b1-b230-0cc11c43eda9,DIN002,2024-07-04,Active,,,3.27
d83a7dd5-035d-4469-a889-bfad7db6bca4,DL002,2024-10-06,Active,,46681.52,4.13
d83a7dd5-035d-4469-a889-bfad7db6bca4,DS001,2025-08-23,Active,309845.66,,2.8
1af7e35e-34f2-4635-9703-cde766e34188,DIN002,2024-03-28,Active,,,3.76
1af7e35e-34f2-4635-9703-cde766e34188,DL002,2025-10-02,Active,,92432.46,4.44
1af7e35e-34f2-4635-9703-cde766e34188,DL001,2025-04-14,Active,,207039.62,0.72
2a9c1cca-e81c-450a-a0af-ab7d9b39731e,DL001,2024-03-19,Active,,33066.15,1.99
2a9c1cca-e81c-450a-a0af-ab7d9b39731e,DIN001,2023-10-22,Active,,,0.92
e56aeb0e-e783-4393-85f6-017119bb6d2b,DI002,2024-10-29,Active,,,4.25
e56aeb0e-e783-4393-85f6-017119bb6d2b,DL002,2025-02-02,Active,,99203.75,3.47
e56aeb0e-e783-4393-85f6-017119bb6d2b,DS002,2025-08-30,Active,82495.43,,4.01
37c9fdfc-0ddd-45a7-95f4-28344a33af46,DL001,2024-11-23,Active,,11991.48,2.44
37c9fdfc-0ddd-45a7-95f4-28344a33af46,DIN001,2024-01-16,Active,,,2.1
2baeac24-5ffd-4a21-a26e-42be14a8ef79,DS002,2025-05-11,Active,400194.64,,4.77
2baeac24-5ffd-4a21-a26e-42be14a8ef79,DS001,2024-04-25,Active,265323.17,,1.43
2c8201b3-0144-478a-a0bc-8fc97bb2ac87,DS002,2024-08-23,Inactive,456586.66,,4.17
455a14d6-1816-4864-915b-045a028af9a7,DIN001,2024-08-16,Inactive,,,2.14
455a14d6-1816-4864-915b-045a028af9a7,DS002,2024-05-02,Inactive,470337.61,,4.73
455a14d6-1816-4864-915b-045a028af9a7,DL002,2023-12-25,Active,,206426.11,0.58
612734af-1d5d-4ba9-9434-31185ffcc157,DI001,2025-08-18,Inactive,,,4.08
612734af-1d5d-4ba9-9434-31185ffcc157,DS002,2023-11-04,Active,21163.76,,4.0
2372a5eb-efa6-4e0b-a69e-6f626548b78f,DIN002,2025-09-23,Active,,,0.82
1c0b1dec-20b4-4184-946e-2a24d051c3e4,DIN001,2024-07-13,Active,,,3.9
eff7726f-dc5f-4cae-b735-cc1004abe332,DL002,2025-07-05,Active,,285013.89,4.44
eff7726f-dc5f-4cae-b735-cc1004abe332,DS002,2023-12-08,Active,86572.46,,1.12
eff7726f-dc5f-4cae-b735-cc1004abe332,DL001,2023-12-14,Active,,98592.55,0.81
113d3c39-7c6a-471e-98fb-96c76c19fc02,DS002,2023-12-26,Active,411962.05,,1.97
113d3c39-7c6a-471e-98fb-96c76c19fc02,DS001,2025-09-16,Active,479328.36,,4.19
95c35803-37ec-476a-a599-e647ec0e290d,DL002,2025-02-02,Active,,134449.57,2.26
95c35803-37ec-476a-a599-e647ec0e290d,DIN002,2025-06-08,Active,,,4.2
96388095-ebf5-4564-8956-9e32c60e6355,DIN002,2025-07-27,Active,,,3.15
96388095-ebf5-4564-8956-9e32c60e6355,DL001,2024-03-24,Active,,62356.51,3.94
96388095-ebf5-4564-8956-9e32c60e6355,DIN001,2025-06-23,Active,,,0.57
3c1de442-8a8f-43cf-9069-c2d1403e5261,DS002,2024-10-27,Active,371955.65,,1.47
63f6c0d8-d28d-46aa-a18b-47ed5cffd12f,DIN001,2025-02-18,Active,,,1.94
63f6c0d8-d28d-46aa-a18b-47ed5cffd12f,DI002,2024-04-14,Active,,,1.47
37ee3ccd-0c13-45c0-a55a-cb938a92d938,DL002,2025-09-01,Active,,281718.15,3.65
3c5748cf-a4bb-42ce-98ff-3d5cca0d8acf,DS001,2025-08-04,Active,313637.33,,1.61
7adc1665-a5b1-46d4-9cf5-f4fb6df8a823,DIN001,2024-09-22,Active,,,1.76
7adc1665-a5b1-46d4-9cf5-f4fb6df8a823,DL002,2025-06-13,Active,,281248.9,2.6
999bc180-5741-4749-a9a9-fb2cd0e4fd8a,DI001,2024-05-19,Inactive,,,1.84
9d4e6aa5-5c35-4a9a-9eba-956aed58f787,DL002,2024-11-13,Active,,190502.23,3.5
9d4e6aa5-5c35-4a9a-9eba-956aed58f787,DIN002,2024-08-07,Active,,,3.65
9d4e6aa5-5c35-4a9a-9eba-956aed58f787,DS001,2024-12-28,Active,291766.7,,4.97
0722140d-28ee-4ec6-b129-dfd0347ea285,DIN002,2025-07-07,Inactive,,,4.76
0722140d-28ee-4ec6-b129-dfd0347ea285,DI002,2024-04-27,Inactive,,,2.44
0722140d-28ee-4ec6-b129-dfd0347ea285,DS001,2023-11-17,Active,318059.35,,4.79
9e6e4cc9-4e32-4df6-8ec5-68d088bea01d,DS001,2023-11-20,Active,226440.54,,4.81
ca8d3149-8a29-41fb-ae88-891cb34e32fc,DI002,2024-11-29,Active,,,2.23
ca8d3149-8a29-41fb-ae88-891cb34e32fc,DL002,2024-06-02,Active,,108102.46,4.85
eba0ce6b-0c7b-4f76-b365-cc2030dcf8c7,DIN001,2024-04-25,Active,,,2.5
e42932f2-e26f-43c8-960b-aa2facc77892,DS001,2025-04-07,Active,380940.95,,4.71
e42932f2-e26f-43c8-960b-aa2facc77892,DL002,2023-10-28,Active,,43090.64,3.86
c4ded7a3-4bbd-45c3-aa6a-9f525980164a,DS001,2025-07-08,Active,405929.03,,0.87
42a5adf1-ce7a-489e-9972-cbb8c8eb7a18,DL001,2024-06-19,Inactive,,61655.01,0.68
42a5adf1-ce7a-489e-9972-cbb8c8eb7a18,DI002,2024-01-04,Active,,,1.31
42a5adf1-ce7a-489e-9972-cbb8c8eb7a18,DI001,2025-02-05,Active,,,1.03
c2146aff-44b8-48dc-b415-f99732ba101f,DL001,2024-03-09,Inactive,,280378.62,0.73
c2146aff-44b8-48dc-b415-f99732ba101f,DIN002,2024-06-01,Active,,,4.45
7fb9ef08-b442-4063-a72d-a943f3845b0d,DL001,2025-02-05,Inactive,,76170.62,1.19
4a600fb1-dc06-4186-a666-2afd311102bf,DIN001,2025-09-09,Active,,,3.69
4a600fb1-dc06-4186-a666-2afd311102bf,DL001,2025-08-30,Active,,34113.64,1.71
cf6dabf6-3c96-4407-bfde-9a117c2b8917,DS002,2024-09-09,Active,330561.4,,2.04
86797461-9614-4d99-a78f-9b2132210046,DI002,2024-11-04,Active,,,2.06
e630c465-cde5-4077-b772-5d0cfc00b0eb,DL002,2025-04-02,Active,,220474.21,4.9
e630c465-cde5-4077-b772-5d0cfc00b0eb,DL001,2024-06-26,Active,,272760.26,1.89
a53f448d-75c1-4e05-86e4-0d5ca92eb1a5,DL002,2024-11-23,Active,,163149.13,1.08
a53f448d-75c1-4e05-86e4-0d5ca92eb1a5,DS001,2024-04-06,Active,466313.64,,0.6
a53f448d-75c1-4e05-86e4-0d5ca92eb1a5,DI002,2025-08-25,Active,,,0.53
43375b68-b9d5-4741-aa05-0b5591e58b41,DIN002,2025-10-04,Active,,,1.5
ac4bbc5a-7e62-4b93-bfa3-14c471a2bd16,DI001,2024-09-23,Inactive,,,1.03
4e27ffec-ec3a-4591-b4c7-250d2020c4c5,DS002,2025-08-03,Inactive,270446.04,,0.73
4e27ffec-ec3a-4591-b4c7-250d2020c4c5,DIN002,2024-01-25,Active,,,2.49
4e27ffec-ec3a-4591-b4c7-250d2020c4c5,DL002,2025-09-20,Active,,207595.13,1.74
a9093889-e42c-4e33-8a39-561f3473d9d3,DIN001,2024-04-20,Active,,,0.7
a9093889-e42c-4e33-8a39-561f3473d9d3,DI002,2024-11-16,Active,,,2.66
7e9863ac-e040-4aaa-8d04-ce29a26dfcbf,DI002,2024-02-23,Active,,,4.61
7e9863ac-e040-4aaa-8d04-ce29a26dfcbf,DI001,2024-09-15,Active,,,3.7
802aded6-0b1a-4db3-8441-46eb0980c5b0,DI001,2025-01-09,Active,,,1.09
802aded6-0b1a-4db3-8441-46eb0980c5b0,DS002,2025-05-08,Inactive,443066.39,,3.86
d43bd65d-a2ca-4cd5-9a45-b5f5492b395b,DI002,2025-03-13,Active,,,1.22
d43bd65d-a2ca-4cd5-9a45-b5f5492b395b,DL002,2025-01-09,Active,,212170.07,0.68
d43bd65d-a2ca-4cd5-9a45-b5f5492b395b,DIN001,2024-09-05,Inactive,,,0.65
afc2ccfc-9db7-484b-a965-d1d1eb7e2e64,DI001,2024-03-20,Active,,,3.43
